sample_id,ref_kw,base_hits,trained_hits,cov_base,cov_trained,delta
sample_000212,40,11,16,0.275,0.4,0.125
sample_000213,36,19,15,0.5277777777777778,0.4166666666666667,-0.1111111111111111
sample_000214,35,11,15,0.3142857142857143,0.42857142857142855,0.11428571428571427
sample_000215,22,0,3,0.0,0.13636363636363635,0.13636363636363635
sample_000216,38,13,14,0.34210526315789475,0.3684210526315789,0.02631578947368418
sample_000217,18,2,0,0.1111111111111111,0.0,-0.1111111111111111
sample_000218,42,20,22,0.47619047619047616,0.5238095238095238,0.04761904761904767
sample_000219,18,6,8,0.3333333333333333,0.4444444444444444,0.1111111111111111
sample_000220,33,17,21,0.5151515151515151,0.6363636363636364,0.12121212121212122
sample_000221,11,0,0,0.0,0.0,0.0
sample_000222,17,1,1,0.058823529411764705,0.058823529411764705,0.0
sample_000223,15,1,1,0.06666666666666667,0.06666666666666667,0.0
sample_000224,55,24,18,0.43636363636363634,0.32727272727272727,-0.10909090909090907
sample_000225,52,28,25,0.5384615384615384,0.4807692307692308,-0.057692307692307654
sample_000226,28,14,7,0.5,0.25,-0.25
sample_000227,29,12,10,0.41379310344827586,0.3448275862068966,-0.06896551724137928
sample_000228,25,12,12,0.48,0.48,0.0
sample_000229,23,6,8,0.2608695652173913,0.34782608695652173,0.08695652173913043
sample_000230,52,21,30,0.40384615384615385,0.5769230769230769,0.17307692307692302
sample_000231,22,5,6,0.22727272727272727,0.2727272727272727,0.04545454545454544
sample_000232,13,0,0,0.0,0.0,0.0
sample_000233,27,14,17,0.5185185185185185,0.6296296296296297,0.11111111111111116
sample_000234,44,9,25,0.20454545454545456,0.5681818181818182,0.36363636363636365
sample_000235,35,6,18,0.17142857142857143,0.5142857142857142,0.3428571428571428
sample_000236,39,15,18,0.38461538461538464,0.46153846153846156,0.07692307692307693
sample_000237,15,0,0,0.0,0.0,0.0
sample_000238,33,22,20,0.6666666666666666,0.6060606060606061,-0.06060606060606055
sample_000239,22,6,4,0.2727272727272727,0.18181818181818182,-0.09090909090909088
sample_000240,34,14,17,0.4117647058823529,0.5,0.08823529411764708
sample_000241,63,2,47,0.031746031746031744,0.746031746031746,0.7142857142857143
sample_000242,32,1,8,0.03125,0.25,0.21875
sample_000243,31,6,11,0.1935483870967742,0.3548387096774194,0.16129032258064518
sample_000244,23,9,8,0.391304347826087,0.34782608695652173,-0.043478260869565244
sample_000245,24,9,9,0.375,0.375,0.0
sample_000246,54,24,19,0.4444444444444444,0.35185185185185186,-0.09259259259259256
sample_000247,22,6,13,0.2727272727272727,0.5909090909090909,0.31818181818181823
sample_000248,13,3,3,0.23076923076923078,0.23076923076923078,0.0
sample_000249,24,0,8,0.0,0.3333333333333333,0.3333333333333333
sample_000250,48,6,24,0.125,0.5,0.375
sample_000251,76,15,20,0.19736842105263158,0.2631578947368421,0.06578947368421051
sample_000252,15,1,2,0.06666666666666667,0.13333333333333333,0.06666666666666667
sample_000253,62,38,33,0.6129032258064516,0.532258064516129,-0.08064516129032262
sample_000254,65,43,33,0.6615384615384615,0.5076923076923077,-0.15384615384615385
sample_000255,52,34,32,0.6538461538461539,0.6153846153846154,-0.038461538461538436
sample_000256,39,22,14,0.5641025641025641,0.358974358974359,-0.20512820512820512
sample_000257,32,3,11,0.09375,0.34375,0.25
sample_000258,39,2,7,0.05128205128205128,0.1794871794871795,0.1282051282051282
sample_000259,31,7,10,0.22580645161290322,0.3225806451612903,0.0967741935483871
sample_000260,22,4,10,0.18181818181818182,0.45454545454545453,0.2727272727272727
sample_000261,58,27,36,0.46551724137931033,0.6206896551724138,0.15517241379310348
sample_000262,35,15,14,0.42857142857142855,0.4,-0.028571428571428525
sample_000263,64,18,21,0.28125,0.328125,0.046875
sample_000264,64,29,27,0.453125,0.421875,-0.03125
sample_000265,72,37,39,0.5138888888888888,0.5416666666666666,0.02777777777777779
sample_000266,43,21,26,0.4883720930232558,0.6046511627906976,0.11627906976744184
sample_000267,30,7,10,0.23333333333333334,0.3333333333333333,0.09999999999999998
sample_000268,56,18,30,0.32142857142857145,0.5357142857142857,0.21428571428571425
sample_000269,55,24,34,0.43636363636363634,0.6181818181818182,0.18181818181818182
sample_000270,67,27,33,0.40298507462686567,0.4925373134328358,0.08955223880597013
sample_000271,24,3,6,0.125,0.25,0.125
sample_000272,31,6,13,0.1935483870967742,0.41935483870967744,0.22580645161290325
sample_000273,23,10,11,0.43478260869565216,0.4782608695652174,0.043478260869565244
sample_000274,50,17,20,0.34,0.4,0.06
sample_000275,20,3,8,0.15,0.4,0.25
sample_000276,67,42,45,0.6268656716417911,0.6716417910447762,0.04477611940298509
sample_000277,40,2,25,0.05,0.625,0.575
sample_000278,15,1,2,0.06666666666666667,0.13333333333333333,0.06666666666666667
sample_000279,45,29,22,0.6444444444444445,0.4888888888888889,-0.1555555555555556
sample_000280,23,4,11,0.17391304347826086,0.4782608695652174,0.30434782608695654
sample_000281,11,1,0,0.09090909090909091,0.0,-0.09090909090909091
sample_000282,24,9,7,0.375,0.2916666666666667,-0.08333333333333331
sample_000283,52,24,28,0.46153846153846156,0.5384615384615384,0.07692307692307687
sample_000284,11,0,1,0.0,0.09090909090909091,0.09090909090909091
sample_000285,11,0,0,0.0,0.0,0.0
sample_000286,43,10,17,0.23255813953488372,0.3953488372093023,0.1627906976744186
sample_000287,11,0,0,0.0,0.0,0.0
sample_000288,41,16,19,0.3902439024390244,0.4634146341463415,0.07317073170731708
sample_000289,40,19,17,0.475,0.425,-0.04999999999999999
sample_000290,34,9,7,0.2647058823529412,0.20588235294117646,-0.05882352941176472
sample_000291,27,12,10,0.4444444444444444,0.37037037037037035,-0.07407407407407407
sample_000292,40,17,24,0.425,0.6,0.175
sample_000293,24,7,7,0.2916666666666667,0.2916666666666667,0.0
sample_000294,35,3,14,0.08571428571428572,0.4,0.3142857142857143
sample_000295,53,34,32,0.6415094339622641,0.6037735849056604,-0.037735849056603765
sample_000296,42,20,17,0.47619047619047616,0.40476190476190477,-0.0714285714285714
sample_000297,41,6,20,0.14634146341463414,0.4878048780487805,0.3414634146341463
sample_000298,56,0,34,0.0,0.6071428571428571,0.6071428571428571
sample_000299,47,4,29,0.0851063829787234,0.6170212765957447,0.5319148936170213
sample_000300,36,14,22,0.3888888888888889,0.6111111111111112,0.22222222222222227
sample_000301,31,12,10,0.3870967741935484,0.3225806451612903,-0.06451612903225806
sample_000302,35,13,19,0.37142857142857144,0.5428571428571428,0.17142857142857137
sample_000303,32,5,9,0.15625,0.28125,0.125
sample_000304,37,2,18,0.05405405405405406,0.4864864864864865,0.43243243243243246
sample_000305,19,1,1,0.05263157894736842,0.05263157894736842,0.0
sample_000306,11,3,3,0.2727272727272727,0.2727272727272727,0.0
sample_000307,36,6,15,0.16666666666666666,0.4166666666666667,0.25
sample_000308,35,16,13,0.45714285714285713,0.37142857142857144,-0.08571428571428569
sample_000309,63,34,40,0.5396825396825397,0.6349206349206349,0.09523809523809523
sample_000310,15,2,4,0.13333333333333333,0.26666666666666666,0.13333333333333333
sample_000311,29,10,12,0.3448275862068966,0.41379310344827586,0.06896551724137928
sample_000312,69,36,39,0.5217391304347826,0.5652173913043478,0.04347826086956519
sample_000313,28,13,15,0.4642857142857143,0.5357142857142857,0.0714285714285714
